name	2000-01	2000-02	2000-03	2000-04	2000-05	2000-06	2000-07	2000-08	2000-09	2000-10	2000-11	2000-12	2001-01	2001-02	2001-03	2001-04	2001-05	2001-06	2001-07	2001-08	2001-09	2001-10	2001-11	2001-12	2002-01	2002-02	2002-03	2002-04	2002-05	2002-06	2002-07	2002-08	2002-09	2002-10	2002-11	2002-12	2003-01	2003-02	2003-03	2003-04	2003-05	2003-06	2003-07	2003-08	2003-09	2003-10	2003-11	2003-12	2004-01	2004-02	2004-03	2004-04	2004-05	2004-06	2004-07	2004-08	2004-09	2004-10	2004-11	2004-12	2005-01	2005-02	2005-03	2005-04	2005-05	2005-06	2005-07	2005-08	2005-09	2005-10	2005-11	2005-12	2006-01	2006-02	2006-03	2006-04	2006-05	2006-06	2006-07	2006-08	2006-09	2006-10	2006-11	2006-12	2007-01	2007-02	2007-03	2007-04	2007-05	2007-06	2007-07	2007-08	2007-09	2007-10	2007-11	2007-12	2008-01	2008-02	2008-03	2008-04	2008-05	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10
Peabody, MA NECTA Div	2.9	2.8	2.8	2.7	2.6	2.6	2.5	2.5	2.5	2.5	2.5	2.6	2.7	2.8	3	3.2	3.3	3.5	3.7	3.9	4.2	4.4	4.6	4.8	4.9	5	5.1	5.2	5.3	5.3	5.4	5.4	5.5	5.5	5.6	5.7	5.7	5.8	5.9	6	6.1	6.2	6.2	6.2	6.1	6.1	6	5.9	5.8	5.7	5.7	5.6	5.6	5.5	5.5	5.4	5.4	5.3	5.3	5.2	5.2	5.1	5.1	5	5	4.9	4.9	5	5	5	5.1	5	5	5	5	5	5	5	5	4.9	4.9	4.8	4.8	4.8	4.7	4.7	4.6	4.6	4.5	4.5	4.5	4.5	4.4	4.4	4.5	4.5	4.5	4.6	4.7	4.8	4.9	5.1	5.3	5.5	5.8	6.1	6.4	6.7	7.2	7.5	7.8	8	8.2	8.3	8.5	8.6	8.6	8.6	8.6	8.6	8.6	8.5	8.5	8.3	8.2	8.1	8	7.9	7.8	7.8	7.7	7.6	7.4	7.3	7.2	7.1	7	7	7	7	7	6.9	6.9	6.8	6.8	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.6	6.4	6.3	6.3	6.5	6.8	6.9	7	6.9	6.9
Philadelphia, PA Met Div	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.2	4.2	4.3	4.3	4.4	4.5	4.6	4.8	4.9	5.1	5.2	5.3	5.4	5.5	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.6	5.7	5.7	5.6	5.6	5.6	5.6	5.5	5.5	5.5	5.5	5.5	5.4	5.4	5.3	5.2	5.2	5.1	5.1	5.1	5.1	5.1	5	4.9	4.8	4.8	4.8	4.8	4.8	4.8	4.7	4.7	4.6	4.6	4.6	4.6	4.6	4.6	4.5	4.5	4.4	4.4	4.3	4.2	4.2	4.2	4.2	4.3	4.3	4.3	4.4	4.5	4.5	4.6	4.7	4.7	4.8	4.8	4.9	5	5.2	5.3	5.5	5.7	5.9	6.1	6.4	6.7	7	7.3	7.5	7.7	7.8	8	8.1	8.2	8.3	8.4	8.5	8.6	8.6	8.6	8.6	8.5	8.5	8.4	8.4	8.4	8.4	8.4	8.3	8.3	8.2	8.2	8.2	8.2	8.3	8.3	8.4	8.3	8.3	8.3	8.2	8.2	8.1	8.2	8.2	8.3	8.3	8.4	8.4	8.4	8.4	8.4	8.4	8.6	8.5	8.2	8	7.9	7.8	7.8	7.9	7.9	7.8
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA	3.8	3.8	3.8	3.8	3.8	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	4	4	4	4.1	4.1	4.3	4.4	4.5	4.7	4.8	5	5.1	5.2	5.3	5.4	5.4	5.4	5.4	5.4	5.4	5.4	5.4	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.5	5.4	5.3	5.3	5.3	5.3	5.3	5.2	5.2	5.2	5.1	5	5	4.9	4.9	4.8	4.8	4.8	4.8	4.7	4.7	4.6	4.6	4.6	4.7	4.7	4.7	4.6	4.6	4.6	4.5	4.5	4.6	4.6	4.6	4.5	4.5	4.4	4.3	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.3	4.3	4.4	4.4	4.5	4.6	4.6	4.7	4.7	4.8	5	5.1	5.3	5.5	5.7	6	6.3	6.6	7	7.3	7.6	7.9	8.1	8.2	8.4	8.5	8.6	8.7	8.8	8.9	9	9	9	9	8.9	8.8	8.8	8.7	8.7	8.8	8.7	8.7	8.6	8.6	8.5	8.5	8.5	8.6	8.6	8.6	8.6	8.6	8.5	8.5	8.4	8.4	8.4	8.5	8.6	8.6	8.7	8.7	8.7	8.6	8.6	8.6	8.8	8.7	8.4	8.2	8.1	8	8	8	8	7.9
San Francisco-Oakland-Fremont, CA MSA	3.4	3.4	3.4	3.4	3.5	3.5	3.4	3.4	3.3	3.3	3.2	3.2	3.3	3.4	3.6	3.8	4	4.2	4.5	4.8	5.1	5.4	5.6	5.8	6	6	6.1	6.2	6.2	6.2	6.3	6.3	6.4	6.4	6.4	6.5	6.5	6.5	6.5	6.5	6.5	6.5	6.5	6.4	6.3	6.2	6.1	6	6	5.9	5.8	5.7	5.6	5.5	5.4	5.3	5.2	5.2	5.2	5.2	5.1	5.1	5	4.9	4.8	4.8	4.8	4.8	4.8	4.7	4.7	4.5	4.4	4.3	4.3	4.2	4.2	4.1	4.1	4.1	4.1	4.1	4.1	4.1	4.2	4.2	4.2	4.2	4.3	4.3	4.4	4.4	4.5	4.6	4.6	4.6	4.7	4.7	4.8	5	5.2	5.4	5.6	5.9	6.1	6.5	6.9	7.4	7.9	8.4	8.8	9.2	9.5	9.8	10	10.1	10.2	10.3	10.3	10.4	10.4	10.4	10.4	10.4	10.3	10.2	10.2	10.2	10.2	10.2	10.2	10.1	9.9	9.8	9.7	9.6	9.5	9.5	9.4	9.4	9.3	9.1	9	8.8	8.6	8.5	8.4	8.3	8.3	8.2	8.1	8	7.9	7.8	7.7	7.6	7.5	7.3	7.1	6.7	6.4	6.2	6.3	6.3	6.3	6.3
San Francisco-San Mateo-Redwood City, CA Met Div	3.1	3.1	3.1	3.1	3.2	3.2	3.2	3.1	3.1	3	3	3.1	3.2	3.3	3.5	3.7	3.9	4.2	4.4	4.7	5	5.3	5.6	5.8	5.9	6	6.1	6.1	6.1	6.1	6.2	6.2	6.2	6.2	6.3	6.3	6.3	6.3	6.3	6.3	6.3	6.3	6.2	6.2	6	5.9	5.8	5.7	5.6	5.6	5.5	5.5	5.3	5.2	5.1	5	5	5	4.9	4.9	4.9	4.8	4.7	4.6	4.6	4.5	4.5	4.5	4.5	4.5	4.4	4.3	4.2	4.1	4	4	3.9	3.9	3.8	3.8	3.8	3.8	3.8	3.8	3.8	3.9	3.9	3.9	3.9	3.9	4	4	4.1	4.1	4.1	4.1	4.2	4.2	4.3	4.4	4.6	4.8	5	5.2	5.4	5.7	6.1	6.5	7	7.5	7.9	8.2	8.5	8.7	8.9	9	9.1	9.1	9.2	9.2	9.3	9.3	9.2	9.2	9	9	8.9	8.9	8.9	8.9	8.9	8.8	8.6	8.5	8.4	8.3	8.2	8.2	8.2	8.1	8	7.9	7.8	7.6	7.5	7.3	7.3	7.2	7.1	7	6.9	6.8	6.7	6.6	6.5	6.4	6.4	6.2	5.9	5.6	5.3	5.2	5.3	5.3	5.2	5.2
Santa Ana-Anaheim-Irvine, CA Met Div	3.5	3.6	3.6	3.6	3.6	3.6	3.6	3.5	3.5	3.4	3.3	3.3	3.4	3.4	3.5	3.6	3.7	3.8	3.9	4.1	4.3	4.4	4.6	4.7	4.8	4.9	4.9	5	5	5	5	5	5	5	5	5	5	4.9	4.9	4.9	4.9	4.8	4.8	4.8	4.7	4.7	4.6	4.6	4.6	4.5	4.5	4.5	4.4	4.3	4.2	4.1	4	4	4	4	4	3.9	3.9	3.8	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.6	3.5	3.5	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.4	3.5	3.6	3.6	3.7	3.7	3.8	3.9	4	4.1	4.2	4.2	4.3	4.3	4.4	4.5	4.6	4.8	5	5.3	5.5	5.8	6.1	6.4	6.8	7.3	7.7	8.1	8.5	8.7	9	9.2	9.4	9.5	9.6	9.6	9.7	9.7	9.7	9.7	9.6	9.5	9.4	9.4	9.4	9.4	9.4	9.3	9.2	9.1	9	8.9	8.9	8.8	8.8	8.8	8.8	8.7	8.5	8.4	8.2	8.1	8	7.9	7.8	7.7	7.7	7.6	7.5	7.3	7.2	7.1	7.1	7	6.8	6.6	6.2	5.9	5.8	5.8	5.9	5.8	5.8
Seattle-Bellevue-Everett, WA Met Div	4.1	4.1	4.2	4.2	4.1	4.1	4.1	4.1	4.1	4.1	4.2	4.3	4.5	4.6	4.8	4.9	4.9	4.9	5	5.1	5.3	5.5	5.7	5.9	6.1	6.2	6.3	6.4	6.4	6.4	6.3	6.3	6.4	6.4	6.5	6.5	6.6	6.7	6.7	6.7	6.7	6.6	6.5	6.4	6.3	6.2	6	5.9	5.8	5.7	5.6	5.5	5.4	5.3	5.2	5.1	5.1	5.1	5.1	5.1	5	5	4.9	4.9	4.8	4.8	4.8	4.8	4.7	4.7	4.6	4.5	4.5	4.4	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.1	4	3.8	3.7	3.6	3.6	3.6	3.6	3.6	3.7	3.7	3.7	3.7	3.7	3.8	3.9	4.1	4.3	4.5	4.7	5	5.4	5.9	6.5	7.2	7.7	8.3	8.7	9	9.2	9.3	9.5	9.6	9.7	9.7	9.7	9.7	9.6	9.5	9.4	9.4	9.4	9.4	9.5	9.6	9.6	9.5	9.4	9.1	8.9	8.7	8.6	8.6	8.6	8.5	8.4	8.3	8.2	8	7.8	7.6	7.4	7.3	7.3	7.3	7.2	7.2	7	6.9	6.7	6.5	6.4	6.3	5.9	5.5	5.1	4.7	4.7	4.8	5.3	5.4	5.7
Seattle-Tacoma-Bellevue, WA MSA	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.4	4.4	4.5	4.7	4.8	5	5.1	5.2	5.2	5.3	5.5	5.7	5.9	6.1	6.3	6.5	6.6	6.7	6.7	6.8	6.7	6.7	6.7	6.7	6.7	6.8	6.8	6.8	6.9	6.9	7	7	7	6.9	6.9	6.7	6.6	6.5	6.3	6.2	6	5.9	5.8	5.7	5.6	5.6	5.5	5.4	5.4	5.4	5.3	5.3	5.2	5.2	5.1	5.1	5	5	5	5	4.9	4.8	4.7	4.6	4.5	4.4	4.4	4.5	4.5	4.5	4.5	4.5	4.5	4.4	4.4	4.2	4.1	4	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	4	4	4.1	4.2	4.4	4.6	4.8	5	5.3	5.6	6.1	6.6	7.3	7.9	8.4	8.9	9.2	9.4	9.5	9.6	9.7	9.8	9.8	9.9	9.9	9.8	9.8	9.7	9.6	9.6	9.6	9.6	9.6	9.6	9.6	9.5	9.3	9.1	9	8.9	8.9	8.8	8.8	8.7	8.6	8.5	8.3	8.1	7.9	7.8	7.7	7.7	7.7	7.6	7.5	7.4	7.2	7.1	6.9	6.8	6.7	6.5	6.2	5.8	5.5	5.4	5.5	5.8	5.9	6
Tacoma, WA Met Div	4.8	4.8	4.8	4.8	4.9	5	5.1	5.1	5.2	5.2	5.2	5.3	5.5	5.7	5.8	6	6.1	6.2	6.4	6.6	7	7.3	7.6	7.9	8.1	8.2	8.2	8.2	8.2	8.1	8	7.9	7.9	7.9	7.9	7.9	7.9	7.9	8	8.1	8.3	8.4	8.5	8.5	8.4	8.3	8.1	7.9	7.7	7.6	7.4	7.3	7.1	7	6.9	6.7	6.6	6.5	6.4	6.4	6.3	6.2	6.2	6	5.9	5.8	5.8	5.7	5.7	5.6	5.5	5.3	5.2	5.1	5.1	5.1	5.2	5.2	5.2	5.1	5.1	5	4.9	4.9	4.8	4.7	4.7	4.6	4.6	4.7	4.7	4.8	4.9	4.9	4.9	4.9	4.9	4.9	5	5.2	5.3	5.5	5.7	6	6.2	6.5	6.9	7.4	7.9	8.5	9	9.4	9.7	9.9	10	10.1	10.2	10.3	10.5	10.6	10.7	10.6	10.5	10.4	10.2	10.1	10	10	10	10.1	10.1	10	10	9.9	9.9	9.8	9.8	9.8	9.8	9.8	9.7	9.7	9.6	9.4	9.3	9.2	9.1	9	9	9	8.9	8.9	8.8	8.7	8.6	8.6	8.6	8.6	8.5	8.3	8.2	8.2	8.2	7.9	7.8	7.9
Taunton-Norton-Raynham, MA NECTA Div	2.8	2.8	2.7	2.7	2.6	2.6	2.6	2.6	2.7	2.7	2.7	2.8	2.9	3	3.1	3.2	3.4	3.5	3.6	3.8	3.9	4.1	4.2	4.3	4.4	4.5	4.7	4.8	4.9	5	5.1	5.1	5.2	5.2	5.3	5.3	5.3	5.4	5.4	5.5	5.5	5.6	5.7	5.7	5.6	5.6	5.6	5.5	5.5	5.5	5.4	5.4	5.3	5.2	5.2	5.1	5.1	5.1	5	5	5	4.9	4.9	4.8	4.7	4.7	4.7	4.8	4.9	4.9	5	5	5	5	5	5	5	5	5	5	5	4.9	4.9	4.8	4.8	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.8	4.8	4.9	4.9	5	5.2	5.4	5.6	5.8	6	6.3	6.6	7	7.3	7.8	8.1	8.4	8.6	8.8	8.9	9	9.2	9.3	9.3	9.4	9.4	9.4	9.4	9.4	9.2	9.1	8.9	8.8	8.7	8.7	8.6	8.6	8.5	8.3	8.2	8	7.9	7.9	7.9	7.8	7.8	7.7	7.6	7.5	7.4	7.3	7.2	7.1	7.2	7.2	7.2	7.2	7.2	7.2	7.1	7.1	7	6.9	6.6	6.6	6.6	6.9	7.2	7.4	7.5	7.4	7.5
